日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2010-01-04,1,5.16,4.86,5.18,4.85,241923,580249472.0,6.47,-4.71,-0.24,0.83
2010-01-05,1,4.88,4.72,4.93,4.52,556500,1293476992.0,8.44,-2.88,-0.14,1.9
2010-01-06,1,4.7,4.57,4.7,4.51,412143,944453696.0,4.03,-3.18,-0.15,1.41
2010-01-07,1,4.57,4.48,4.63,4.39,355337,804166336.0,5.25,-1.97,-0.09,1.22
2010-01-08,1,4.43,4.46,4.52,4.37,288543,650667392.0,3.35,-0.45,-0.02,0.99
2010-01-11,1,4.79,4.46,4.85,4.35,442846,1009985536.0,11.21,0.0,0.0,1.51
2010-01-12,1,4.45,4.41,4.48,4.17,591796,1310068992.0,6.95,-1.12,-0.05,2.02
2010-01-13,1,4.2,3.87,4.21,3.81,935039,1990492672.0,9.07,-12.24,-0.54,3.2
2010-01-14,1,3.88,3.87,3.94,3.74,521195,1089329408.0,5.17,0.0,0.0,1.78
2010-01-15,1,3.89,4.04,4.12,3.76,539508,1146375296.0,9.3,4.39,0.17,1.85
2010-01-18,1,4.04,4.05,4.16,3.96,349127,749941248.0,4.95,0.25,0.01,1.19
2010-01-19,1,4.09,4.33,4.37,4.09,650715,1438886656.0,6.91,6.91,0.28,2.23
2010-01-20,1,4.33,4.02,4.46,3.99,490836,1079325952.0,10.85,-7.16,-0.31,1.68
2010-01-21,1,4.09,4.49,4.53,4.02,632301,1405279488.0,12.69,11.69,0.47,2.16
2010-01-22,1,4.4,4.64,4.77,4.2,882539,2002921984.0,12.69,3.34,0.15,3.02
2010-01-25,1,4.46,4.31,4.64,4.28,356059,803320192.0,7.76,-7.11,-0.33,1.22
2010-01-26,1,4.31,4.26,4.46,4.1,345326,760432384.0,8.35,-1.16,-0.05,1.18
2010-01-27,1,4.39,4.21,4.46,4.14,401035,892337344.0,7.51,-1.17,-0.05,1.37
2010-01-28,1,4.17,4.16,4.26,3.92,262132,567566976.0,8.08,-1.19,-0.05,0.9
2010-01-29,1,4.1,4.14,4.37,4.0,240688,528437728.0,8.89,-0.48,-0.02,0.82
2010-02-01,1,4.14,3.97,4.16,3.88,283180,602675200.0,6.76,-4.11,-0.17,0.97
2010-02-02,1,3.98,4.02,4.23,3.98,286734,620475776.0,6.3,1.26,0.05,0.98
2010-02-03,1,4.08,4.46,4.46,3.97,549006,1214267904.0,12.19,10.95,0.44,1.88
2010-02-04,1,4.36,4.32,4.41,4.25,303346,675283328.0,3.59,-3.14,-0.14,1.04
2010-02-05,1,4.11,4.25,4.36,4.03,276174,601515200.0,7.64,-1.62,-0.07,0.94
2010-02-08,1,4.2,4.09,4.27,4.05,206423,447137536.0,5.18,-3.76,-0.16,0.71
2010-02-09,1,4.1,4.25,4.3,4.08,248170,543120256.0,5.38,3.91,0.16,0.85
2010-02-10,1,4.32,4.35,4.38,4.25,253840,564177472.0,3.06,2.35,0.1,0.87
2010-02-11,1,4.32,4.29,4.37,4.27,139102,308844864.0,2.3,-1.38,-0.06,0.48
2010-02-12,1,4.31,4.41,4.46,4.31,188386,422488288.0,3.5,2.8,0.12,0.64
2010-02-22,1,4.36,4.28,4.41,4.27,165778,367933696.0,3.17,-2.95,-0.13,0.57
2010-02-23,1,4.26,4.08,4.26,4.03,237781,513377920.0,5.37,-4.67,-0.2,0.81
2010-02-24,1,4.03,4.14,4.17,3.96,231486,497531456.0,5.15,1.47,0.06,0.79
2010-02-25,1,4.13,4.3,4.39,4.1,347879,770836544.0,7.0,3.86,0.16,1.19
2010-02-26,1,4.25,4.41,4.47,4.24,450217,1008966464.0,5.35,2.56,0.11,1.54
2010-03-02,1,4.57,4.65,4.95,4.57,684647,1599219840.0,8.62,5.44,0.24,2.34
2010-03-03,1,4.65,4.72,4.73,4.53,284111,655444672.0,4.3,1.51,0.07,0.97
2010-03-04,1,4.72,4.64,4.84,4.61,376321,877389760.0,4.87,-1.69,-0.08,1.29
2010-03-05,1,4.64,4.7,4.78,4.63,291842,681193920.0,3.23,1.29,0.06,1.0
2010-03-08,1,4.72,4.91,4.99,4.63,441054,1045698944.0,7.66,4.47,0.21,1.51
2010-03-09,1,4.93,4.9,5.07,4.79,394360,943966336.0,5.7,-0.2,-0.01,1.35
2010-03-10,1,4.86,4.75,5.0,4.73,211059,499356448.0,5.51,-3.06,-0.15,0.72
2010-03-11,1,4.81,4.85,4.96,4.75,241218,571453952.0,4.42,2.11,0.1,0.82
2010-03-12,1,4.81,4.58,4.81,4.56,283073,655910208.0,5.15,-5.57,-0.27,0.97
2010-03-15,1,4.56,4.39,4.56,4.32,189090,424857088.0,5.24,-4.15,-0.19,0.65
2010-03-16,1,4.39,4.44,4.47,4.33,196849,441221888.0,3.19,1.14,0.05,0.67
2010-03-17,1,4.47,4.68,4.68,4.41,192860,441162464.0,6.08,5.41,0.24,0.66
2010-03-18,1,4.7,4.63,4.79,4.6,218152,507527264.0,4.06,-1.07,-0.05,0.75
2010-03-19,1,4.63,4.62,4.68,4.5,176615,404284736.0,3.89,-0.22,-0.01,0.6
2010-03-22,1,4.58,4.66,4.76,4.58,195257,453198688.0,3.9,0.87,0.04,0.67
2010-03-23,1,4.68,4.55,4.7,4.5,159349,365560032.0,4.29,-2.36,-0.11,0.54
2010-03-24,1,4.55,4.53,4.68,4.51,210983,484336288.0,3.74,-0.44,-0.02,0.72
2010-03-25,1,4.52,4.35,4.52,4.35,166074,372184256.0,3.75,-3.97,-0.18,0.57
2010-03-26,1,4.35,4.54,4.64,4.31,223461,509149248.0,7.59,4.37,0.19,0.76
2010-03-29,1,4.59,4.81,4.92,4.53,444163,1044826240.0,8.59,5.95,0.27,1.52
2010-03-30,1,4.84,4.84,4.89,4.73,253043,595446912.0,3.33,0.62,0.03,0.87
2010-03-31,1,4.84,4.68,4.85,4.64,305550,710514240.0,4.34,-3.31,-0.16,1.04
2010-04-01,1,4.7,4.75,4.82,4.63,305159,712145600.0,4.06,1.5,0.07,1.04
2010-04-02,1,4.77,4.76,4.79,4.68,195900,457640288.0,2.32,0.21,0.01,0.67
2010-04-06,1,4.81,4.74,4.92,4.7,236509,556583872.0,4.62,-0.42,-0.02,0.81
2010-04-07,1,4.73,4.55,4.76,4.49,318422,730335808.0,5.7,-4.01,-0.19,1.09
2010-04-08,1,4.54,4.45,4.55,4.36,448387,1009933568.0,4.18,-2.2,-0.1,1.53
2010-04-09,1,4.45,4.48,4.51,4.43,220410,498836800.0,1.8,0.67,0.03,0.75
2010-04-12,1,4.51,4.28,4.52,4.22,494771,1098010880.0,6.7,-4.46,-0.2,1.69
